reaction_id,reaction,reactant_text,product_text,reactants,products,rate_variable,bistable_rate
1,Aa=>,Aa,,['Aa'],[''],k1,1.0
2,=>Aa,,Aa,[''],['Aa'],j1,47.199815
3,C9=>,C9,,['C9'],[''],k2,1.0
4,=>C9,,C9,[''],['C9'],j2,166.19172
5,X=>,X,,['X'],[''],k3,1.0
6,=>X,,X,[''],['X'],j3,186.86809
7,C3=>,C3,,['C3'],[''],k4,1.0
8,=>C3,,C3,[''],['C3'],j4,27.059983
9,C3+C9=>C3a+C9,C3+C9,C3a+C9,"['C3', 'C9']","['C3a', 'C9']",k5,1.0
10,C3+C9a=>C3a+C9a,C3+C9a,C3a+C9a,"['C3', 'C9a']","['C3a', 'C9a']",k6,23.059983
11,AaC9+C3=>AaC9+C3a,AaC9+C3,AaC9+C3a,"['AaC9', 'C3']","['AaC9', 'C3a']",k7,0.71613323
12,AaC9a+C3=>AaC9a+C3a,AaC9a+C3,AaC9a+C3a,"['AaC9a', 'C3']","['AaC9a', 'C3a']",k8,1.0
13,C3a+C9=>C3a+C9a,C3a+C9,C3a+C9a,"['C3a', 'C9']","['C3a', 'C9a']",k9,51.202574
14,AaC9+C3a=>AaC9a+C3a,AaC9+C3a,AaC9a+C3a,"['AaC9', 'C3a']","['AaC9a', 'C3a']",k10,18.089124
15,Aa+C9=>AaC9,Aa+C9,AaC9,"['Aa', 'C9']",['AaC9'],k11,1.0
16,AaC9=>Aa+C9,AaC9,Aa+C9,['AaC9'],"['Aa', 'C9']",j11,0.71613323
17,Aa+C9a=>AaC9a,Aa+C9a,AaC9a,"['Aa', 'C9a']",['AaC9a'],k12,101.75094
18,AaC9a=>Aa+C9a,AaC9a,Aa+C9a,['AaC9a'],"['Aa', 'C9a']",j12,1.0
19,Aa+C9X=>AaC9X,Aa+C9X,AaC9X,"['Aa', 'C9X']",['AaC9X'],k13,7.0333007
20,AaC9X=>Aa+C9X,AaC9X,Aa+C9X,['AaC9X'],"['Aa', 'C9X']",j13,23.706437
21,Aa+C9aX=>AaC9aX,Aa+C9aX,AaC9aX,"['Aa', 'C9aX']",['AaC9aX'],k14,0.0093332
22,AaC9aX=>Aa+C9aX,AaC9aX,Aa+C9aX,['AaC9aX'],"['Aa', 'C9aX']",j14,2.5265188
23,C9+X=>C9X,C9+X,C9X,"['C9', 'X']",['C9X'],k15,64.440778
24,C9X=>C9+X,C9X,C9+X,['C9X'],"['C9', 'X']",j15,0.09218
25,C3a+X=>C3aX,C3a+X,C3aX,"['C3a', 'X']",['C3aX'],k16,12.616982
26,C3aX=>C3a+X,C3aX,C3a+X,['C3aX'],"['C3a', 'X']",j16,0.04154
27,C9a+X=>C9aX,C9a+X,C9aX,"['C9a', 'X']",['C9aX'],k17,1.0
28,C9aX=>C9a+X,C9aX,C9a+X,['C9aX'],"['C9a', 'X']",j17,0.0093332
29,AaC9a+X=>AaC9aX,AaC9a+X,AaC9aX,"['AaC9a', 'X']",['AaC9aX'],k18,150.94709
30,AaC9aX=>AaC9a+X,AaC9aX,AaC9a+X,['AaC9aX'],"['AaC9a', 'X']",j18,0.023362
31,AaC9+X=>AaC9X,AaC9+X,AaC9X,"['AaC9', 'X']",['AaC9X'],k19,20.101017
32,AaC9X=>AaC9+X,AaC9X,AaC9+X,['AaC9X'],"['AaC9', 'X']",j19,79.661356
33,C3a=>,C3a,,['C3a'],[''],k20,1.0
34,C9a=>,C9a,,['C9a'],[''],k21,1.0
35,C3aX=>,C3aX,,['C3aX'],[''],k22,1.0
36,C9X=>,C9X,,['C9X'],[''],k23,1.0
37,C9aX=>,C9aX,,['C9aX'],[''],k24,1.0
38,AaC9=>,AaC9,,['AaC9'],[''],k25,1.0
39,AaC9a=>,AaC9a,,['AaC9a'],[''],k26,1.0
40,AaC9X=>,AaC9X,,['AaC9X'],[''],k27,1.0
41,AaC9aX=>,AaC9aX,,['AaC9aX'],[''],k28,1.0
